// alignID alignOntime alignSitch alignPitch alignOnvel refID refOntime refSitch refPitch refOnvel
93	18.2137	Eb4	63	47	114	9.75	Eb4	63	80	
94	18.2244	F#4	66	51	113	9.75	F#4	66	80	
95	18.4188	Bb4	70	85	115	9.875	Bb4	70	80	
96	18.6763	B4	71	84	116	10	B4	71	80	
97	18.6902	Eb4	63	49	117	10	Eb4	63	80	
98	18.6945	G#3	56	53	118	10	G#3	56	80	
99	19.1239	E4	64	56	120	10.25	E4	64	80	
100	19.125	C#5	73	83	119	10.25	C#5	73	80	
101	19.344	Eb5	75	85	121	10.375	Eb5	75	80	
102	19.3569	F#4	66	55	122	10.375	F#4	66	80	
103	19.5823	E5	76	82	123	10.5	E5	76	80	
104	19.5983	G#4	68	67	124	10.5	G#4	68	80	
105	19.7821	Bb4	70	71	125	10.625	Bb4	70	80	
106	19.9979	Eb5	75	83	126	10.75	Eb5	75	80	
107	20.0096	B4	71	61	127	10.75	B4	71	80	
108	20.0171	G#4	68	50	128	10.75	G#4	68	80	
109	20.2244	F#4	66	56	129	10.875	F#4	66	80	
110	20.4765	C#5	73	78	130	11	C#5	73	80	
111	20.4808	E4	64	53	131	11	E4	64	80	
112	20.9519	Bb4	70	49	132	11.25	Bb4	70	80	
113	20.9594	C#4	61	40	133	11.25	C#4	61	80	
114	21.1656	G#4	68	53	134	11.375	G#4	68	80	
115	21.3985	Bb4	70	64	135	11.5	Bb4	70	80	
116	21.5972	B4	71	60	136	11.625	B4	71	80	
117	21.8483	Bb4	70	57	137	11.75	Bb4	70	80	
118	21.8547	F#4	66	45	138	11.75	F#4	66	80	
119	22.0631	G#4	68	56	139	11.875	G#4	68	80	
120	22.0716	E4	64	40	140	11.875	E4	64	80	
121	22.3109	F#4	66	54	141	12	F#4	66	80	
122	22.3195	Eb4	63	47	142	12	Eb4	63	80	
123	22.7607	F#3	54	54	145	12.25	F#3	54	80	
124	22.7671	B4	71	53	143	12.25	B4	71	80	
125	23.0235	Bb4	70	49	146	12.375	Bb4	70	80	
126	23.2351	Eb3	51	70	149	12.5	Eb3	51	80	
127	23.2586	B4	71	51	147	12.5	B4	71	80	
128	23.6742	C#5	73	62	150	12.75	C#5	73	80	
129	23.6838	E3	52	64	153	12.75	E3	52	80	
130	23.6923	E4	64	47	151	12.75	E4	64	80	
131	23.6998	G#3	56	56	152	12.75	G#3	56	80	
132	23.9146	B4	71	51	154	12.875	B4	71	80	
133	24.1464	Bb4	70	60	155	13	Bb4	70	80	
134	24.1507	F#3	54	75	156	13	F#3	54	80	
135	24.3579	G#4	68	58	158	13.125	G#4	68	80	
136	24.5951	F#4	66	57	159	13.25	F#4	66	80	
137	24.6197	Eb4	63	48	160	13.25	Eb4	63	80	
138	24.8077	E4	64	49	161	13.375	E4	64	80	
139	24.8302	C#4	61	35	162	13.375	C#4	61	80	
140	25.0417	B2	47	63	165	13.5	B2	47	80	
141	25.0534	Eb4	63	57	163	13.5	Eb4	63	80	
142	25.2436	E4	64	47	166	13.625	E4	64	80	
143	25.4701	B4	71	57	167	13.75	B4	71	80	
144	25.4712	Eb3	51	65	169	13.75	Eb3	51	80	
145	25.4904	F#4	66	48	168	13.75	F#4	66	80	
146	25.6881	F3	53	66	171	13.875	F3	53	80	
147	25.6955	G#4	68	62	170	13.875	G#4	68	80	
148	25.9199	F#3	54	68	174	14	F#3	54	80	
149	25.9498	Bb4	70	69	172	14	Bb4	70	80	
150	25.9648	C#4	61	58	173	14	C#4	61	80	
151	26.3772	G#3	56	69	176	14.25	G#3	56	80	
152	26.3868	B4	71	63	175	14.25	B4	71	80	
153	26.5823	Bb3	58	78	178	14.375	Bb3	58	80	
154	26.593	C#5	73	67	177	14.375	C#5	73	80	
155	26.8205	B3	59	80	180	14.5	B3	59	80	
156	26.8334	Eb5	75	74	179	14.5	Eb5	75	80	
157	27.046	F5	77	66	181	14.625	F5	77	80	
158	27.265	Bb3	58	72	184	14.75	Bb3	58	80	
159	27.2661	Eb5	75	41	183	14.75	Eb5	75	80	
160	27.2661	F#5	78	70	182	14.75	F#5	78	80	
161	27.499	C#5	73	58	185	14.875	C#5	73	80	
162	27.7126	B4	71	55	186	15	B4	71	80	
163	27.7169	G#3	56	60	*	-1	*	-1	-1	
164	27.9391	Bb3	58	54	*	-1	*	-1	-1	
165	28.062	G#3	56	58	187	15	G#3	56	80	
166	28.1261	F5	77	63	188	15.25	F5	77	80	
167	28.1464	G#4	68	48	189	15.25	G#4	68	80	
168	28.1731	Bb3	58	52	*	-1	*	-1	-1	
169	28.2575	G#3	56	57	*	-1	*	-1	-1	
170	28.3537	Bb3	58	55	*	-1	*	-1	-1	
171	28.3718	Eb5	75	72	190	15.375	Eb5	75	80	
172	28.4541	G#3	56	57	*	-1	*	-1	-1	
173	28.5641	Bb3	58	60	*	-1	*	-1	-1	
174	28.5737	F5	77	76	191	15.5	F5	77	80	
175	28.6742	G#3	56	60	*	-1	*	-1	-1	
176	28.7874	Bb3	58	57	*	-1	*	-1	-1	
177	28.7906	Eb5	75	72	192	15.625	Eb5	75	80	
178	28.9007	G#3	56	51	*	-1	*	-1	-1	
179	28.9947	Bb3	58	56	*	-1	*	-1	-1	
180	29.0641	C#5	73	60	193	15.75	C#5	73	80	
181	29.0951	G#3	56	54	*	-1	*	-1	-1	
182	29.1966	Bb3	58	58	*	-1	*	-1	-1	
183	29.2725	B4	71	54	194	15.875	B4	71	80	
184	29.3034	G#3	56	54	*	-1	*	-1	-1	
185	29.5193	F#5	78	63	195	16	F#5	78	80	
186	29.5257	Bb4	70	45	196	16	Bb4	70	80	
187	29.5278	F#3	54	33	*	-1	*	-1	-1	
188	29.9851	C#5	73	57	198	16.25	C#5	73	80	
189	30.1859	B4	71	62	199	16.375	B4	71	80	
